CASEID	A1CURFOR	CURRENT	FORMER	A6QUALS1	A7GENED	A8ABEGTR	A8CBGPCR	C12STPCR	C13STOP1	F13STOP1	F15BMSCH	F12AEXFN	F12BFNCR
201	2	D	1	4	4	6	22	  D	 D	5	6	40	31
202	2	D	1	4	4	6	22	  D	 D	2	4	35	29
203	2	D	1	1	3	20	22	  D	 D	3	1	40	32
204	1	1	D	1	1	6	17	40	3	 D	D	  D	  D
205	2	D	1	4	4	8	18	  D	 D	4	7	65	30
206	2	D	1	1	4	21	26	  D	 D	4	3	40	36
207	2	D	1	4	4	10	22	  D	 D	4	3	  D	  D
208	2	D	1	1	4	9	18	  D	 D	1	5	35	40
209	2	D	1	1	2	9	19	  D	 D	2	5	40	35
210	2	D	1	1	5	16	19	  D	 D	7	8	30	27
211	2	D	1	4	4	5	12	  D	 D	3	8	  D	39
212	2	D	1	7	5	24	29	  D	 D	1	3	55	  D
213	2	D	1	3	3	3	22	  D	 D	1	7	45	37
214	1	1	D	4	4	5	24	48	3	 D	D	  D	  D
215	2	D	1	5	5	9	18	  D	 D	3	1	34	27
216	1	1	D	1	4	14	19	40	3	 D	D	  D	  D
217	1	1	D	4	5	3	  D	  D	2	 D	D	  D	  D
218	1	1	D	8	2	8	14	  D	1	 D	D	  D	  D
219	1	1	D	1	2	15	23	45	4	 D	D	  D	  D
220	2	D	1	6	2	13	18	  D	 D	5	6	40	47
